lor,rho,tau,negentropy
0.001 , 0.06655136790036664 , 0.04438406687057861 , -6.800170488188918
0.002 , 0.13954798932763968 , 0.09318192432137429 , -6.7925619849876355
0.0021 , 0.14669160113287671 , 0.09796862491076075 , -6.7915210005647655
0.00211 , 0.1474040206055689 , 0.09844613077073672 , -6.791414241744571
0.00212 , 0.14811631863305386 , 0.09892358046930438 , -6.79130696645838
0.00213 , 0.148828011944788 , 0.09940065041267365 , -6.791199247913312
0.00214 , 0.14953957755173608 , 0.0998776602077075 , -6.79109101460061
0.00215 , 0.1502505323492178 , 0.10035428634110577 , -6.790982340439465
0.00216 , 0.15096135329342375 , 0.10083084841141055 , -6.79087315322504
0.00217 , 0.15167203728778955 , 0.10130734446042255 , -6.790763453469825
0.00218 , 0.15238162169260994 , 0.10178312964441183 , -6.7906533906291
0.0021899999999999997 , 0.15309154301009875 , 0.10225916647702826 , -6.790542742866282
0.0022 , 0.15380083869382744 , 0.10273481016079722 , -6.7904316599979015
0.0023 , 0.16087410903021615 , 0.10747950904178616 , -6.789294732338939
0.0024000000000000002 , 0.16790958157574498 , 0.1122015871064459 , -6.788111064787809
0.0025 , 0.17490659182250123 , 0.11690068783033569 , -6.786881340363381
0.0026 , 0.18186369957130633 , 0.12157593077138384 , -6.7856063970846865
0.0027 , 0.18877962696341477 , 0.12622654022523117 , -6.784287075222789
0.0028 , 0.1956527651798472 , 0.13085151377928383 , -6.782924311088561
0.0029000000000000002 , 0.2024825891794051 , 0.13545057308127395 , -6.781518853761333
0.003 , 0.20926774084098354 , 0.1400228758106965 , -6.780071640289686
0.0031 , 0.21600697365217192 , 0.14456765005445937 , -6.77858361545552
0.0032 , 0.22269961735068056 , 0.14908450754401803 , -6.777055620253528
0.00321 , 0.2233664159562634 , 0.1495347253342557 , -6.776900626649928
0.00322 , 0.22403238201138764 , 0.1499844174883409 , -6.776745326365641
0.0032300000000000002 , 0.22469798691760778 , 0.15043390177259575 , -6.776589610587671
0.0032400000000000003 , 0.22536322916772478 , 0.15088317724344535 , -6.776433480122125
0.0032500000000000003 , 0.22602810725751254 , 0.15133224295888914 , -6.776276935778283
0.0032600000000000003 , 0.2266926196857333 , 0.15178109797847683 , -6.776119978368443
0.0032700000000000003 , 0.22735629260839096 , 0.15222942288052943 , -6.775962720675768
0.0032800000000000004 , 0.22801959707022612 , 0.15267753529735328 , -6.775805052214444
0.00329 , 0.22868205939531294 , 0.1531251158753122 , -6.775647086444009
0.0033 , 0.22934462263073252 , 0.1535728006072622 , -6.775488599226604
0.0034000000000000002 , 0.2359410302687719 , 0.15803193780607927 , -6.773883499282424
0.0035 , 0.24248749538286551 , 0.16246106274743555 , -6.772241387669909
0.0036 , 0.24898416561619374 , 0.16686032242203608 , -6.770562975071061
0.0037 , 0.25542985161356024 , 0.17122895705873475 , -6.76884932201861
0.0038 , 0.26182390785171616 , 0.17556656979395546 , -6.76710136876259
0.0039000000000000003 , 0.26816529108797327 , 0.17987249015453666 , -6.765320182947069
0.004 , 0.2744534940593226 , 0.1841464059573199 , -6.763506702387555
0.005 , 0.3343205010206043 , 0.22506841969444336 , -6.743802321543512
0.006 , 0.38853372084306237 , 0.26256953758004686 , -6.7218894336146
0.007 , 0.4371215069193699 , 0.29664621835447536 , -6.6986012892000275
0.008 , 0.4803652335366595 , 0.32744721830257273 , -6.674625427599798
0.0081 , 0.4844117720398955 , 0.33035613517645845 , -6.672211582178079
0.0082 , 0.4884089063779773 , 0.3332344433436233 , -6.6697971571094286
0.0083 , 0.49235830873252207 , 0.33608326118072906 , -6.667381873611009
0.0084 , 0.4962599843882165 , 0.33890252234521057 , -6.664966443936087
0.0085 , 0.5001143653968816 , 0.3416924632790689 , -6.662551315091333
0.0086 , 0.5039223035781841 , 0.34445362039633554 , -6.6601366572929175
0.0087 , 0.5076838296114898 , 0.34718594316509377 , -6.657723148611281
0.0088 , 0.5113993951535001 , 0.3498896811989901 , -6.655311195342076
0.0089 , 0.5150702747147273 , 0.35256567526198623 , -6.652900650952335
0.009000000000000001 , 0.518696107275255 , 0.35521359246300377 , -6.650492426272345
0.01 , 0.552613864936107 , 0.3802309226445335 , -6.626587937152148
0.02 , 0.7428681014625673 , 0.5344555403647941 , -6.426348326977636
0.03 , 0.8190972595818147 , 0.6097068186879836 , -6.287209458757767
0.04 , 0.8598620009405082 , 0.6564812432398588 , -6.181678941649847
0.05 , 0.8853748650942197 , 0.6892873245812727 , -6.096301178751762
0.06 , 0.902883831426591 , 0.7139582207239623 , -6.024489386410418
0.07 , 0.9156590794364954 , 0.7333928900750226 , -5.962466557711487
0.08 , 0.9253997351404564 , 0.7492217814671337 , -5.907845756906752
0.09 , 0.9330771617484945 , 0.7624417169685469 , -5.859021104862529
0.101 , 0.9398433360091596 , 0.7747370016897963 , -5.810669625474755
0.201 , 0.9682335793092738 , 0.8361462935820438 , -5.512335368499207
0.30100000000000005 , 0.9654044925938026 , 0.84631300586286 , -5.355519031015863
